"","...1","method","dataset","series","time_fit","time_detect","time_detect_RT","time_RT","precision","recall","f1","precision_soft","recall_soft","f1_soft","precision_RT","recall_RT","f1_RT","precision_RT_soft","recall_RT_soft","f1_RT_soft"
"78",78,"fbiad","A3Benchmark","TS79",3.24249267578125e-05,0.0132954120635986,0.00962281227111816,2.5207245349884,0.25,1,0.4,0.25,1,0.4,0.444444444444444,0.8,0.571428571428571,0.533333333333333,0.96,0.685714285714286
"79",79,"fbiad","A3Benchmark","TS8",3.50475311279297e-05,0.0262067317962646,0.00914359092712402,1.14597797393799,0.5,1,0.666666666666667,0.5,1,0.666666666666667,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"80",80,"fbiad","A3Benchmark","TS80",3.60012054443359e-05,0.0281498432159424,0.00869059562683105,4.53382134437561,0.225,0.692307692307692,0.339622641509434,0.235,0.723076923076923,0.354716981132076,0.571428571428571,0.923076923076923,0.705882352941177,0.60952380952381,0.984615384615385,0.752941176470588
"81",81,"fbiad","A3Benchmark","TS81",3.60012054443359e-05,0.0265529155731201,0.00907373428344727,2.12492966651917,0.5,0.75,0.6,0.5,0.75,0.6,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"82",82,"fbiad","A3Benchmark","TS82",3.33786010742188e-05,0.013357400894165,0.0251250267028809,3.05527281761169,0.3125,0.714285714285714,0.434782608695652,0.3125,0.714285714285714,0.434782608695652,0.192307692307692,0.714285714285714,0.303030303030303,0.253846153846154,0.942857142857143,0.4
"83",83,"fbiad","A3Benchmark","TS83",3.38554382324219e-05,0.0132286548614502,0.00900459289550781,2.64343929290771,0.478260869565217,0.916666666666667,0.628571428571429,0.478260869565217,0.916666666666667,0.628571428571429,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"84",84,"fbiad","A3Benchmark","TS84",3.76701354980469e-05,0.013735294342041,0.00889229774475098,3.83349871635437,0.0454545454545455,0.4,0.0816326530612245,0.0681818181818182,0.6,0.122448979591837,0.208333333333333,1,0.344827586206897,0.208333333333333,1,0.344827586206897
"85",85,"fbiad","A3Benchmark","TS85",3.69548797607422e-05,0.0135715007781982,0.0086817741394043,2.58526730537415,0.411764705882353,0.875,0.56,0.458823529411765,0.975,0.624,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"86",86,"fbiad","A3Benchmark","TS86",3.55243682861328e-05,0.041618824005127,0.00870513916015625,3.8796169757843,1,0.692307692307692,0.818181818181818,1,0.692307692307692,0.818181818181818,0.454545454545455,0.769230769230769,0.571428571428571,0.563636363636364,0.953846153846154,0.708571428571429
"87",87,"fbiad","A3Benchmark","TS87",3.52859497070312e-05,0.0255932807922363,0.00869536399841309,2.77009201049805,0.115384615384615,0.428571428571429,0.181818181818182,0.115384615384615,0.428571428571429,0.181818181818182,0.3125,0.714285714285714,0.434782608695652,0.4125,0.942857142857143,0.573913043478261
"88",88,"fbiad","A3Benchmark","TS88",3.4332275390625e-05,0.0134451389312744,0.00876736640930176,3.08364987373352,0.0625,0.166666666666667,0.0909090909090909,0.09375,0.25,0.136363636363636,0.32,0.666666666666667,0.432432432432432,0.448,0.933333333333333,0.605405405405405
"89",89,"fbiad","A3Benchmark","TS89",3.4332275390625e-05,0.0130107402801514,0.0102064609527588,2.30089569091797,1,0.857142857142857,0.923076923076923,1,0.857142857142857,0.923076923076923,0.5,0.857142857142857,0.631578947368421,0.566666666666667,0.971428571428571,0.715789473684211
"90",90,"fbiad","A3Benchmark","TS9",3.60012054443359e-05,0.0133252143859863,0.00885009765625,1.49903798103333,1,0.9,0.947368421052632,1,0.9,0.947368421052632,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"91",91,"fbiad","A3Benchmark","TS90",3.95774841308594e-05,0.0135054588317871,0.00884819030761719,1.52434372901917,1,0.8,0.888888888888889,1,0.8,0.888888888888889,0.473684210526316,0.9,0.620689655172414,0.515789473684211,0.98,0.675862068965517
"92",92,"fbiad","A3Benchmark","TS91",3.52859497070312e-05,0.013031005859375,0.00882339477539062,2.89832282066345,0.625,1,0.769230769230769,0.625,1,0.769230769230769,0.454545454545455,1,0.625,0.454545454545455,1,0.625
"93",93,"fbiad","A3Benchmark","TS92",3.76701354980469e-05,0.0134046077728271,0.0087287425994873,3.69163990020752,0.538461538461538,0.875,0.666666666666667,0.538461538461538,0.875,0.666666666666667,0.35,0.875,0.5,0.39,0.975,0.557142857142857
"94",94,"fbiad","A3Benchmark","TS93",3.67164611816406e-05,0.0132405757904053,0.00891375541687012,2.31152868270874,0.545454545454545,0.8,0.648648648648649,0.545454545454545,0.8,0.648648648648649,0.535714285714286,1,0.697674418604651,0.535714285714286,1,0.697674418604651
"95",95,"fbiad","A3Benchmark","TS94",4.22000885009766e-05,0.0271661281585693,0.0166497230529785,1.49923658370972,0.5,1,0.666666666666667,0.5,1,0.666666666666667,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"96",96,"fbiad","A3Benchmark","TS95",3.79085540771484e-05,0.0136134624481201,0.0088202953338623,2.46788191795349,0.5,0.875,0.636363636363636,0.5,0.875,0.636363636363636,0.517241379310345,0.9375,0.666666666666667,0.544827586206897,0.9875,0.702222222222222
"97",97,"fbiad","A3Benchmark","TS96",3.71932983398438e-05,0.0323531627655029,0.0089871883392334,3.61236572265625,0.333333333333333,0.8,0.470588235294118,0.333333333333333,0.8,0.470588235294118,0.454545454545455,1,0.625,0.454545454545455,1,0.625
"98",98,"fbiad","A3Benchmark","TS97",3.60012054443359e-05,0.0134420394897461,0.00874209403991699,1.33174109458923,1,0.8,0.888888888888889,1,0.8,0.888888888888889,0.473684210526316,0.9,0.620689655172414,0.515789473684211,0.98,0.675862068965517
"99",99,"fbiad","A3Benchmark","TS98",3.62396240234375e-05,0.0267655849456787,0.0086362361907959,2.61400485038757,0.9,0.692307692307692,0.782608695652174,0.9,0.692307692307692,0.782608695652174,0.48,0.923076923076923,0.631578947368421,0.512,0.984615384615385,0.673684210526316
"100",100,"fbiad","A3Benchmark","TS99",3.67164611816406e-05,0.0140681266784668,0.00872397422790527,1.27577352523804,1,1,1,1,1,1,0.476190476190476,0.909090909090909,0.625,0.514285714285714,0.981818181818182,0.675
"101",1,"fft","A3Benchmark","TS1",3.67164611816406e-05,0.00094890594482421,0.00046944618225097,4.67299890518188,0.411764705882353,0.636363636363636,0.5,0.447058823529412,0.690909090909091,0.542857142857143,1,1,1,1,1,1
