method,serie,F1,precision,recall
ARIMA,71,0.842105263157895,0.727272727272727,1
ARIMA,72,0.909090909090909,0.833333333333333,1
ARIMA,73,1,1,1
ARIMA,74,1,1,1
ARIMA,75,1,1,1
ARIMA,76,1,1,1
ARIMA,77,1,1,1
ARIMA,78,1,1,1
ARIMA,79,1,1,1
ARIMA,80,1,1,1
ARIMA,81,1,1,1
ARIMA,82,0.933333333333333,0.875,1
ARIMA,83,1,1,1
ARIMA,84,0.588235294117647,0.416666666666667,1
ARIMA,85,1,1,1
ARIMA,86,1,1,1
ARIMA,87,1,1,1
ARIMA,88,0.8,0.769230769230769,0.833333333333333
ARIMA,89,0.888888888888889,0.923076923076923,0.857142857142857
ARIMA,90,0.9,0.9,0.9
ARIMA,91,1,1,1
ARIMA,92,1,1,1
ARIMA,93,0.941176470588235,0.888888888888889,1
ARIMA,94,1,1,1
ARIMA,95,1,1,1
ARIMA,96,1,1,1
ARIMA,97,1,1,1
ARIMA,98,1,1,1
ARIMA,99,1,1,1
ARIMA,100,1,1,1
FBIAD,1,0.645161290322581,0.5,0.909090909090909
FBIAD,2,0.571428571428571,0.444444444444444,0.8
FBIAD,3,0.666666666666667,0.571428571428571,0.8
FBIAD,4,0.823529411764706,0.7,1
FBIAD,5,0.96,1,0.923076923076923
FBIAD,6,0.533333333333333,0.380952380952381,0.888888888888889
FBIAD,7,0.8,1,0.666666666666667
FBIAD,8,0.205128205128205,0.121212121212121,0.666666666666667
FBIAD,9,0.326530612244898,0.2,0.888888888888889
FBIAD,10,0.5,0.333333333333333,1
FBIAD,11,0.857142857142857,1,0.75
FBIAD,12,0.695652173913043,0.615384615384615,0.8
FBIAD,13,0.967741935483871,1,0.9375
FBIAD,14,0.846153846153846,0.785714285714286,0.916666666666667
FBIAD,15,0.888888888888889,0.8,1
FBIAD,16,0.25,0.15,0.75
FBIAD,17,0.733333333333333,0.733333333333333,0.733333333333333
FBIAD,18,0.186046511627907,0.114285714285714,0.5
FBIAD,19,0.307692307692308,0.181818181818182,1
FBIAD,20,0.666666666666667,0.615384615384615,0.727272727272727
FBIAD,21,0.8,1,0.666666666666667
FBIAD,22,0.8,0.666666666666667,1
FBIAD,23,0.24,0.142857142857143,0.75
FBIAD,24,0.533333333333333,0.444444444444444,0.666666666666667
FBIAD,25,0.4375,0.291666666666667,0.875
FBIAD,26,0.727272727272727,1,0.571428571428571
FBIAD,27,0.428571428571429,0.321428571428571,0.642857142857143
FBIAD,28,0.518518518518518,0.368421052631579,0.875
FBIAD,29,0.05,0.0256410256410256,1
FBIAD,30,0.666666666666667,0.5,1
FBIAD,31,0.24,0.142857142857143,0.75
FBIAD,32,0.516129032258065,0.380952380952381,0.8
FBIAD,33,0.121212121212121,0.0666666666666667,0.666666666666667
FBIAD,34,0.392156862745098,0.256410256410256,0.833333333333333
FBIAD,35,0.555555555555556,0.416666666666667,0.833333333333333
FBIAD,36,0.842105263157895,0.888888888888889,0.8
FBIAD,37,0.833333333333333,1,0.714285714285714
FBIAD,38,0.625,0.625,0.625
FBIAD,39,0.512820512820513,0.416666666666667,0.666666666666667
FBIAD,40,0.827586206896552,0.923076923076923,0.75
FBIAD,41,0.235294117647059,0.137931034482759,0.8
FBIAD,42,0.461538461538462,0.3,1
FBIAD,43,0.666666666666667,0.571428571428571,0.8
FBIAD,44,0.392156862745098,0.263157894736842,0.769230769230769
FBIAD,45,0.717948717948718,0.608695652173913,0.875
FBIAD,46,0.307692307692308,0.181818181818182,1
FBIAD,47,0.161290322580645,0.0909090909090909,0.714285714285714
FBIAD,48,0.833333333333333,0.909090909090909,0.769230769230769
FBIAD,49,0.470588235294118,0.363636363636364,0.666666666666667
FBIAD,50,0.846153846153846,1,0.733333333333333
FBIAD,51,0.838709677419355,0.866666666666667,0.8125
FBIAD,52,0.857142857142857,1,0.75
FBIAD,53,0.0952380952380952,0.05,1
FBIAD,54,0.545454545454546,0.461538461538462,0.666666666666667
FBIAD,55,0.0555555555555556,0.0303030303030303,0.333333333333333
FBIAD,56,0.48780487804878,0.333333333333333,0.909090909090909
FBIAD,57,0.857142857142857,0.75,1
FBIAD,58,0.451612903225806,0.368421052631579,0.583333333333333
FBIAD,59,0.642857142857143,0.6,0.692307692307692
FBIAD,60,0.444444444444444,0.4,0.5
FBIAD,61,0.636363636363636,0.583333333333333,0.7
FBIAD,62,1,1,1
FBIAD,63,0.4,0.375,0.428571428571429
FBIAD,64,0.153846153846154,0.0833333333333333,1
FBIAD,65,0.827586206896552,0.923076923076923,0.75
FBIAD,66,0.769230769230769,1,0.625
FBIAD,67,0.461538461538462,0.315789473684211,0.857142857142857
FBIAD,68,0.5,0.333333333333333,1
FBIAD,69,0.516129032258064,0.363636363636364,0.888888888888889
FBIAD,70,0.758620689655172,0.846153846153846,0.6875
FBIAD,71,0.181818181818182,0.111111111111111,0.5
FBIAD,72,0.448979591836735,0.323529411764706,0.733333333333333
FBIAD,73,0.6,0.75,0.5
FBIAD,74,0.628571428571429,0.523809523809524,0.785714285714286
FBIAD,75,0.434782608695652,0.277777777777778,1
FBIAD,76,0.896551724137931,1,0.8125
FBIAD,77,0.866666666666667,0.866666666666667,0.866666666666667
FBIAD,78,0.4,0.25,1
FBIAD,79,0.666666666666667,0.5,1
FBIAD,80,0.339622641509434,0.225,0.692307692307692
FBIAD,81,0.6,0.5,0.75
FBIAD,82,0.434782608695652,0.3125,0.714285714285714
FBIAD,83,0.628571428571429,0.478260869565217,0.916666666666667
FBIAD,84,0.0816326530612245,0.0454545454545455,0.4
FBIAD,85,0.56,0.411764705882353,0.875
FBIAD,86,0.818181818181818,1,0.692307692307692
FBIAD,87,0.181818181818182,0.115384615384615,0.428571428571429
FBIAD,88,0.0909090909090909,0.0625,0.166666666666667
FBIAD,89,0.923076923076923,1,0.857142857142857
FBIAD,90,0.947368421052632,1,0.9
FBIAD,91,0.888888888888889,1,0.8
FBIAD,92,0.769230769230769,0.625,1
FBIAD,93,0.666666666666667,0.538461538461538,0.875
FBIAD,94,0.648648648648649,0.545454545454545,0.8
FBIAD,95,0.666666666666667,0.5,1
FBIAD,96,0.636363636363636,0.5,0.875
FBIAD,97,0.470588235294118,0.333333333333333,0.8
FBIAD,98,0.888888888888889,1,0.8
FBIAD,99,0.782608695652174,0.9,0.692307692307692
FBIAD,100,1,1,1
FFT,1,0.5,0.411764705882353,0.636363636363636
FFT,2,NA,0,0
FFT,3,0.571428571428572,1,0.4
FFT,4,0.25,0.176470588235294,0.428571428571429
FFT,5,0.916666666666667,1,0.846153846153846
FFT,6,0.551724137931035,0.4,0.888888888888889
FFT,7,NA,0,0
FFT,8,0.235294117647059,0.181818181818182,0.333333333333333
FFT,9,0.142857142857143,0.105263157894737,0.222222222222222
FFT,10,NA,0,0
FFT,11,0.0833333333333333,0.0833333333333333,0.0833333333333333
FFT,12,0.380952380952381,0.363636363636364,0.4
FFT,13,0.0714285714285714,0.0833333333333333,0.0625
FFT,14,NA,0,0
FFT,15,0.117647058823529,0.2,0.0833333333333333
FFT,16,0.105263157894737,0.0666666666666667,0.25
FFT,17,0.758620689655172,0.785714285714286,0.733333333333333
FFT,18,0.545454545454545,1,0.375
FFT,19,0.117647058823529,0.0666666666666667,0.5
FFT,20,NA,0,0
FFT,21,NA,0,0
FFT,22,0.181818181818182,0.111111111111111,0.5
FFT,23,NA,0,0
FFT,24,0.0952380952380952,0.0666666666666667,0.166666666666667
FFT,25,NA,0,0
FFT,26,0.923076923076923,1,0.857142857142857
FFT,27,0.538461538461538,0.583333333333333,0.5
FFT,28,0.736842105263158,0.636363636363636,0.875
FFT,29,0.105263157894737,0.0555555555555556,1
FFT,30,0.222222222222222,0.133333333333333,0.666666666666667
FFT,31,0.1,0.0625,0.25
FFT,32,0.842105263157895,0.888888888888889,0.8
FFT,33,NA,0,0
FFT,34,0.0952380952380952,0.111111111111111,0.0833333333333333
FFT,35,0.173913043478261,0.117647058823529,0.333333333333333
FFT,36,NA,0,0
FFT,37,0.666666666666667,1,0.5
FFT,38,NA,0,0
FFT,39,0.0833333333333333,0.111111111111111,0.0666666666666667
FFT,40,0.769230769230769,1,0.625
FFT,41,0.5,0.363636363636364,0.8
FFT,42,NA,0,0
FFT,43,0.333333333333333,0.285714285714286,0.4
FFT,44,0.0689655172413793,0.0625,0.0769230769230769
FFT,45,0.875,0.875,0.875
FFT,46,NA,0,0
FFT,47,NA,0,0
FFT,48,0.266666666666667,0.235294117647059,0.307692307692308
FFT,49,0.8,1,0.666666666666667
FFT,50,0.25,0.235294117647059,0.266666666666667
FFT,51,0.588235294117647,0.555555555555556,0.625
FFT,52,0.428571428571429,0.375,0.5
FFT,53,NA,0,0
FFT,54,0.166666666666667,0.133333333333333,0.222222222222222
FFT,55,0.181818181818182,0.125,0.333333333333333
FFT,56,0.153846153846154,0.133333333333333,0.181818181818182
FFT,57,1,1,1
FFT,58,NA,0,0
FFT,59,0.32258064516129,0.277777777777778,0.384615384615385
FFT,60,NA,0,0
FFT,61,0.0833333333333333,0.0714285714285714,0.1
FFT,62,1,1,1
FFT,63,0.6,1,0.428571428571429
FFT,64,NA,NA,0
FFT,65,0.206896551724138,0.230769230769231,0.1875
FFT,66,0.470588235294118,0.444444444444444,0.5
FFT,67,0.75,0.666666666666667,0.857142857142857
FFT,68,0.888888888888889,1,0.8
FFT,69,NA,0,0
FFT,70,NA,0,0
FFT,71,NA,0,0
FFT,72,0.625,0.588235294117647,0.666666666666667
FFT,73,NA,0,0
FFT,74,0.357142857142857,0.357142857142857,0.357142857142857
FFT,75,1,1,1
FFT,76,0.896551724137931,1,0.8125
FFT,77,0.0714285714285714,0.0769230769230769,0.0666666666666667
FFT,78,0.3,0.2,0.6
FFT,79,NA,0,0
FFT,80,NA,0,0
FFT,81,0.3125,0.25,0.416666666666667
FFT,82,NA,0,0
FFT,83,0.588235294117647,0.454545454545455,0.833333333333333
